0.0  0.0
0.5  0
1  0
1.5  0
2  0
2.5  0
3  0
3.5  0
4  0
4.5  0
5  0
5.5  0
6  0
6.5  0
7  0
7.5  0
8  0
8.5  0
9  0
9.5  0
10  0
10.5  0
11  0
11.5  0
12  0
12.5  0
13  0
13.5  0
14  0
14.5  0
15  0
15.5  0
16  0
16.5  0
17  0
17.5  0
18  0
18.5  0
19  0
19.5  0
20  2
20.5  4
21  4
21.5  5
22  3
22.5  15
23  7
23.5  7
24  4
24.5  8
25  3
25.5  2
26  2
26.5  10
27  4
27.5  11
28  3
28.5  3
29  5
29.5  3
30  13
30.5  12
31  14
31.5  10
32  5
32.5  10
33  3
33.5  9
34  3
34.5  14
35  9
35.5  7
36  7
36.5  6
37  8
37.5  3
38  15
38.5  9
39  7
39.5  10
40  13
40.5  3
41  0
41.5  0
42  0
42.5  0
43  0
43.5  0
44  0
44.5  0
45  0
45.5  0
46  0
46.5  0
47  0
47.5  0
48  0
48.5  0
49  0
49.5  0
50  0
50.5  0
51  0
51.5  0
52  0
52.5  0
53  0
53.5  0
54  0
54.5  0
55  0
55.5  0
56  0
56.5  0
57  0
57.5  0
58  0
58.5  0
59  0
